Uncertainty           , Type  ,ttH_hbb, ttH_hcc , ttH_hww , ttH_hzz , ttH_htt , ttH_hgg , ttH_hgluglu , ttH_hzg , ttbarOther , ttbarPlusB , ttbarPlus2B , ttbarPlusBBbar , ttbarPlusCCbar , singlet , wjets , zjets , ttbarW , ttbarZ, diboson
CMS_ttH_CSVLF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_CSVHF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_CSVHFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_CSVLFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_CSVHFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_CSVLFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_CSVCErr1      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_CSVCErr2      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scale_j           , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scale_0p25j           , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scale_0p5j           , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scale_0p75j           , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_scale_1p25j           , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_QCDscale_ttbarPlusB  , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , x          , -              , -              , -              , -       , -     , -     , -      , -      ,-
CMS_ttH_QCDscale_ttbarPlus2B , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , x              , -              , -              , -       , -     , -     , -      , -      ,-
CMS_ttH_QCDscale_ttbarPlusBBbar , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , x              , -              , -       , -     , -     , -      , -      ,-
CMS_ttH_QCDscale_ttbarPlusCCbar , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              , x              , -       , -     , -     , -      , -      ,-
CMS_ttH_PU         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#CMS_res_j             , shape   ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#CMS_ttH_eff_lep       , lnN   , x     , x     , x     , x     , x     , x     , x     , x     , x     , x          , x              , x              , x              , x       , x     , x     , x      , x      ,-
#CMS_ttH_eff_lepton       , shape   , 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#CMS_ttH_ljets_Trig       , shape   , 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_eff_mu       , shape   , 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_eff_el       , shape   , 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_ljets_Trig_mu       , shape   , 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_ljets_Trig_el       , shape   , 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p25CSVLF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p25CSVHF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p25CSVHFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p25CSVLFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p25CSVHFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p25CSVLFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p25CSVCErr1      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p25CSVCErr2      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p5CSVLF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p5CSVHF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p5CSVHFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p5CSVLFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p5CSVHFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p5CSVLFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p5CSVCErr1      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p5CSVCErr2      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p75CSVLF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p75CSVHF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p75CSVHFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p75CSVLFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p75CSVHFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p75CSVLFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p75CSVCErr1      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_0p75CSVCErr2      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p25CSVLF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p25CSVHF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p25CSVHFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p25CSVLFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p25CSVHFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p25CSVLFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p25CSVCErr1      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p25CSVCErr2      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p5CSVLF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p5CSVHF         , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p5CSVHFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p5CSVLFStats1   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p5CSVHFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p5CSVLFStats2   , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p5CSVCErr1      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMS_ttH_1p5CSVCErr2      , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
