Uncertainty           , Type  , ttH_hbb , ttH_hcc , ttH_hww , ttH_hzz , ttH_htt , ttH_hgg , ttH_hgluglu , ttH_hzg , ttbarOther , ttbarPlusB , ttbarPlus2B , ttbarPlusBBbar , ttbarPlusCCbar , singlet , wjets , zjets , ttbarW , ttbarZ , diboson
#CMS_ttH_pu            , lnN   , 1.01  , 1.01  , 1.01  , 1.01  , 1.01  , 1.01  , 1.01  , 1.01  , 1.01  , 1.01       , 1.01           , 1.01           , 1.01           , 1.01    , 1.01  , 1.01  , 1.01   , 1.01   , 1.01
#CMS_res_j             , shape   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1      , 1          , 1          , 1          , 1   , 1 , 1 , 1  , 1  , 1
#CMS_ttH_eff_lep       , lnN   , x     , x     , x     , x     , x     , x     , x     , x     , x     , x          , x              , x              , x              , x       , x     , x     , x      , x      , x
#Q2scale_ttH_ttbar0p   , shape , -     , -     , -     , -     , -     , -     , -     , -     , 1     , -          , -              , -              , -              , -       , -     , -     , -      , -      , -
#Q2scale_ttH_ttbar1p   , shape , -     , -     , -     , -     , -     , -     , -     , -     , 1     , -          , -              , -              , -              , -       , -     , -     , -      , -      , -
#Q2scale_ttH_ttbar2p   , shape , -     , -     , -     , -     , -     , -     , -     , -     , 1     , -          , -              , -              , -              , -       , -     , -     , -      , -      , -
#Q2scale_ttH_ttbar_b   , shape , -     , -     , -     , -     , -     , -     , -     , -     , -     , 1          , -              , -              , -              , -       , -     , -     , -      , -      , -
#Q2scale_ttH_ttbar_bb  , shape , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , 1              , 1              , -              , -       , -     , -     , -      , -      , -
#Q2scale_ttH_ttbar_cc  , shape , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              , 1              , -       , -     , -     , -      , -      , -
#Q2scale_ttH_V         , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              , -              , -       , -     , -     , -      , -      , -
CMS_ttH_CSVLF         , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_CSVHF         , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_CSVHFStats1   , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_CSVLFStats1   , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_CSVHFStats2   , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_CSVLFStats2   , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_CSVCErr1      , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_CSVCErr2      , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_scale_j           , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
#CMS_ttH_topPtcorr     , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1          , 1              , 1              , 1              , 1       , 1     , 1     , 1      , 1      , 1
CMS_ttH_QCDscale_ttb  , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , x          , -              , -              , -              , -       , -     , -     , -      , -      , -
CMS_ttH_QCDscale_tt2b , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , x              , -              , -              , -       , -     , -     , -      , -      , -
CMS_ttH_QCDscale_ttbb , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , x              , -              , -       , -     , -     , -      , -      , -
CMS_ttH_QCDscale_ttcc , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              , x              , -       , -     , -     , -      , -      , -
#TES                   , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , -          , -              , -              , -              , 1       , 1     , 1     , -      , -      , 1
#jetTauFake            , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , -          , -              , -              , -              , 1       , 1     , 1     , -      , -      , 1
#eTauFake              , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , -          , -              , -              , -              , 1       , 1     , 1     , -      , -      , 1
#tauIdEff              , shape , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , 1     , -          , -              , -              , -              , 1       , 1     , 1     , -      , -      , 1
#MuRatePromptSF        , shape , -     , -     , -     , -     , -     , -     , -     , -     , 1     , 1          , 1              , 1              , 1              , -       , 1     , -     , -      , -      , -
#MuShapePromptSF       , shape , -     , -     , -     , -     , -     , -     , -     , -     , 1     , 1          , 1              , 1              , 1              , -       , 1     , -     , -      , -      , -
#EleRatePromptSF       , shape , -     , -     , -     , -     , -     , -     , -     , -     , 1     , 1          , 1              , 1              , 1              , -       , 1     , -     , -      , -      , -
#EleShapePromptSF      , shape , -     , -     , -     , -     , -     , -     , -     , -     , 1     , 1          , 1              , 1              , 1              , -       , 1     , -     , -      , -      , -
#FlipSF                , shape , -     , -     , -     , -     , -     , -     , -     , -     , 1     , 1          , 1              , 1              , 1              , -       , -     , -     , -      , -      , -
